Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,79116,79.116,20.884,1.264,
Phase 2,F5-F10,79116,4109,5.1936,94.8064,19.2543,
Phase 3,F11-F12,4109,28,0.6814,99.3186,146.75,
Total,F1-F12,100000,28,0.028,99.972,3571.4286,686.604
