Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,22580,22.58,77.42,4.4287,
Phase 2,F5-F10,22580,2590,11.4703,88.5297,8.7181,
Phase 3,F11-F12,2590,3,0.1158,99.8842,863.3333,
Total,F1-F12,100000,3,0.003,99.997,33333.3333,1391.6676
