Function,|Ld|,P1,P2,P3,|L*|_3,t3_s,|L*|_8,t8_s,Speedup,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
AND,35,35,35,0,0,0.048094899859279394,0,0.04813470016233623,0.9991731473776172,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
OR,35,35,35,0,0,0.033522500190883875,0,0.035989100113511086,0.9314625840921986,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
XOR,35,35,35,0,0,0.03429650003090501,0,0.03610999998636544,0.9497784559361624,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
NAND,35,35,35,0,0,0.07132949982769787,0,0.04557710001245141,1.5650293636104766,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
NOR,35,35,35,0,0,0.046164700062945485,0,0.05276829982176423,0.8748566889377949,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
WIRE,35,35,35,0,0,0.0692782998085022,0,0.08577209990471601,0.807702036973133,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,35
INV,35,35,35,2,2,0.06480280007235706,2,0.03739170008338988,1.733079799202383,0,0,0,REMOVED,0,REMOVED,0,REMOVED,0,REMOVED,0,33
