Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,79116,79.116,20.884,1.264,
Phase 2,F5-F10,79116,4110,5.1949,94.8051,19.2496,
Phase 3,F11-F12,4110,28,0.6813,99.3187,146.7857,
Total,F1-F12,100000,28,0.028,99.972,3571.4286,603.1954
