Metric,Original QC-3,QuickCell-12,Improvement
Number of pruning filters,3,12,4.0x more
Processed layouts,100000,100000,same
After early pruning / Phase 1,47022,22580,2.08x fewer
Before expensive enumerative pruning,47022,2587,18.18x fewer
Before final verification,1,0,inf
Candidate implementations,1,0,inf
Search-space reduction,100000.0,inf,inf
