Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,22580,22.58,77.42,4.4287,
Phase 2,F5-F10,22580,2591,11.4748,88.5252,8.7148,
Phase 3,F11-F12,2591,2,0.0772,99.9228,1295.5,
Total,F1-F12,100000,2,0.002,99.998,50000.0,1076.6238
