Quantity,Value
Processed layouts,100000
Full search space |Ld|,16701685
Input patterns for 3-input gate,8
Assumed simulation time per layout/input [s],0.01
Estimated brute-force time for processed sample [s],8000.0
Estimated brute-force time for full |Ld| [s],1336134.8
QC-3 candidates before verification,6639
QuickCell-12 candidates before verification,7
QuickCell-12 candidate reduction over QC-3,948.4286x
Measured QuickCell-12 wall time [s],1466.8982
