Metric,Original QC-3,QuickCell-12,Improvement
Number of pruning filters,3,12,4.0x more
Processed layouts,100000,100000,same
After early pruning / Phase 1,99409,80175,1.24x fewer
Before expensive enumerative pruning,99409,1321,75.25x fewer
Before final verification,6639,7,948.43x fewer
Candidate implementations,6639,7,948.43x fewer
Search-space reduction,15.0625,14285.7143,948.43x fewer
