Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,40261,40.261,59.739,2.4838,
Phase 2,F5-F10,40261,633,1.5722,98.4278,63.6035,
Phase 3,F11-F12,633,2,0.316,99.684,316.5,
Total,F1-F12,100000,2,0.002,99.998,50000.0,940.077
