Metric,Original QC-3,QuickCell-12,Improvement
Number of pruning filters,3,12,4.0x more
Processed layouts,100000,100000,same
After early pruning / Phase 1,47022,22580,2.08x fewer
Before expensive enumerative pruning,47022,2589,18.16x fewer
Before final verification,10,3,3.33x fewer
Candidate implementations,10,3,3.33x fewer
Search-space reduction,10000.0,33333.3333,3.33x fewer
