Phase,Filters,Input Layouts,Output Layouts,Retention Ratio [%],Pruning Ratio [%],Reduction Factor,Runtime [s]
Phase 1,F1-F4,100000,22580,22.58,77.42,4.4287,
Phase 2,F5-F10,22580,2587,11.457,88.543,8.7283,
Phase 3,F11-F12,2587,0,0.0,100.0,inf,
Total,F1-F12,100000,0,0.0,100.0,inf,1495.8019
